ar-qwen_range_ratio_high,ar-qwen_range_ratio_low,ar-qwen_ratio,ar-sdar_range_ratio_high,ar-sdar_range_ratio_low,ar-sdar_ratio,block,flash,max_s,median_s,min_s,model,output_tokens,repeats,steps
1.0108899570843095,0.9892273565406473,1.0,1.0277668304286152,0.9955488934643053,1.008724333911453,1,auto,1.757693,1.747163,1.738758,ar-qwen,16,3,1
1.032546227023354,0.9684796417133023,1.0,1.0300649666178878,0.9787388242498469,0.9875530418850894,1,auto,3.300597,3.223304,3.196561,ar-qwen,32,3,1
1.0299944205342741,0.9708790456178243,1.0,1.0327001186476727,0.9773295551340163,1.0026876168112029,1,auto,4.029916,3.98558,3.912561,ar-qwen,40,3,1
1.019012059450236,0.9813426551001828,1.0,1.018912668741511,0.9903493252986609,1.0088946325782395,1,auto,6.299235,6.252456,6.181708,ar-qwen,64,3,1
1.0168212560933099,0.9834570176493574,1.0,1.0277652136609177,0.9796519683790559,1.0045057616027735,1,auto,9.345836,9.277456,9.191228,ar-qwen,96,4,1
1.0097707692513638,0.9903237749112032,1.0,1.0125043378053653,0.9887218908496593,0.9974012715303666,1,auto,21.649145,21.5918295,21.439663,ar-qwen,224,4,1
1.0024596468703824,0.9754444344106892,0.9803436526765831,1.0051734233539023,0.9738666182136134,0.9777960057163481,1,off,21.492397,21.167413,21.117538,ar-qwen,224,3,1
1.0060729198264222,0.9939637379093059,1.0,1.005607468002059,0.9968039176530348,0.9995427436335906,1,auto,48.115207,47.8855735,47.824771,ar-qwen,480,4,1
1.0044710074662488,0.9729833366805238,0.9913511217900104,1.0212407160307004,0.9792010681739584,1.0,1,auto,1.746532,1.732052,1.710206,ar-sdar,16,3,1
1.021723032971997,0.9708125530017752,1.0126038375530202,1.019267781245036,0.9810964482547458,1.0,1,auto,3.266,3.26393,3.204261,ar-sdar,32,3,1
1.0231963156612767,0.9683353201406679,0.997319587111537,1.025884155794901,0.9747689291732508,1.0,1,auto,4.003318,3.974897,3.90231,ar-sdar,40,3,1
1.0097447178029113,0.9814383810097576,0.9911837844200744,1.0096462309967906,0.9904459297715922,1.0,1,auto,6.241947,6.197333,6.182311,ar-sdar,64,3,1
1.0207706739512934,0.9729848672713708,0.9955144492196998,1.0317571387552473,0.969220335326625,1.0,1,auto,9.382136,9.2358415,9.093357,ar-sdar,96,4,1
1.0114067557871596,0.9876500896455725,1.0026054994552454,1.0141447531496444,0.9860525303653993,1.0,1,auto,21.68422,21.648087,21.38178,ar-sdar,224,4,1
1.0002615712756306,0.990582815164294,0.9932123167237867,1.0029693973092981,0.9889805120958929,0.9906312275999261,1,off,21.445271,21.445271,21.445271,ar-sdar,224,1,1
1.0032063300418104,0.9944238003590009,1.0004574655454423,1.0027422044229526,0.997265294698022,1.0,1,auto,47.978113,47.9074795,47.846907,ar-sdar,480,4,1
1.2267147009532091,1.196551388666849,1.2167382207613142,1.2471947823829412,1.204197804563558,1.2273534512820632,4,auto,2.13296,2.12584,2.10317,sdar,16,3,1
1.0227272371777045,0.954339472525728,0.9804660063090543,1.0202695722976376,0.964448867115738,0.9682621869954319,4,auto,3.26921,3.16034,3.14989,sdar,32,3,1
0.9487417576364944,0.9103614070367719,0.9242970910131022,0.9512340126745441,0.9164098380393463,0.926781247413455,4,auto,3.7120100000000003,3.68386,3.6686799999999997,sdar,40,3,1
0.861467413213306,0.8275798569191338,0.8449847547907574,0.8613833888330754,0.83517530667915,0.8525005837188351,4,auto,5.32534,5.28323,5.21312,sdar,64,3,1
0.8095904051123527,0.7900951824962476,0.800137451473766,0.818303955293958,0.7870382607969018,0.8037426800795575,4,auto,7.44113,7.42324,7.3841,sdar,96,3,1
0.7613160710595125,0.7524126241475125,0.7552630035356662,0.7633770434454007,0.7511955698660132,0.7533002800663172,4,auto,16.32236,16.30751,16.28909,sdar,224,3,1
0.753743703236969,0.7453539584688891,0.7502779516674265,0.7533949895653652,0.7474837536857691,0.74993488229745,4,auto,36.04762,35.92749,35.86286,sdar,480,3,1
1.204990236342739,1.1768685005814354,1.1893378960784078,1.2179594400615747,1.1723151316501914,1.1946967691032813,4,auto,11.07534,11.034030000000001,10.99882,sdar,96,3,2
1.16043521766177,1.1404307190884442,1.1451836445818546,1.1635766526453832,1.1385860316857142,1.142207623241721,4,auto,24.87934,24.72661,24.689349999999997,sdar,224,3,2
1.1602872076481037,1.1471267285621363,1.1571190642626425,1.159750409780929,1.1504045605128321,1.1565899642038149,4,auto,55.49047,55.40931,55.19424,sdar,480,3,2
1.9883523725012588,1.9252574087540162,1.9517613449204179,2.0097528338544284,1.9178084819917343,1.9605555162461379,4,auto,18.2754,18.107380000000003,17.99314,sdar,96,3,4
1.9501276675850736,1.9226149577731593,1.9308549097240697,1.9554068931585677,1.9195050594395373,1.9258371420994382,4,auto,41.81008,41.690690000000004,41.62297,sdar,224,3,4
1.9679975048913458,1.9501882221976103,1.960921487136413,1.9670870261268925,1.9557607444878045,1.9600248433023908,4,auto,94.11903,93.89985,93.83371000000001,sdar,480,3,4
0.5270645010655811,0.518345282326803,0.5221657747554932,0.5327372498407353,0.5163397759316215,0.5245185292536689,8,auto,4.84437,4.84437,4.84437,sdar,96,1,1
0.5043246248786654,0.4994446662905163,0.5007704418933097,0.5056898911129009,0.4986367967120791,0.49946907548921066,8,auto,10.81255,10.81255,10.81255,sdar,224,1,1
0.5065521380123285,0.5034944565446846,0.5059089456243017,0.506317785598973,0.5049331556662098,0.5056776155380915,8,auto,24.225740000000002,24.225740000000002,24.225740000000002,sdar,480,1,1
0.7929658583162119,0.768256579721707,0.7785561041733854,0.8015004799657597,0.7652841527771501,0.7820640923731748,8,auto,7.28833,7.22302,7.18,sdar,96,3,2
0.7644247952964559,0.7551088045278461,0.7582914639076787,0.7664941833654635,0.7538873890783251,0.7563208702921418,8,auto,16.38901,16.3729,16.347459999999998,sdar,224,3,2
0.7863054900984261,0.779057440197649,0.784232645767519,0.7859417119689679,0.7812835406844784,0.7838740503974958,8,auto,37.604879999999994,37.55343,37.48451,sdar,480,3,2
1.312120643726823,1.2904142550757365,1.2999253243561597,1.326242882579008,1.285421571377776,1.3057824779691165,8,auto,12.06,12.06,12.06,sdar,96,1,4
1.2944587795060025,1.2819333049873332,1.28533619626813,1.297963032076843,1.279859732100117,1.2819959565018377,8,auto,27.75276,27.75276,27.75276,sdar,224,1,4
1.3367999190210447,1.3287306443470148,1.3351025231012426,1.3361814589185461,1.332527396398437,1.3344920389727453,8,auto,63.93215,63.93215,63.93215,sdar,480,1,4
0.44739070774873607,0.4399895311666073,0.4432324982193394,0.45220593450801505,0.4382871874805482,0.44522959819091745,16,auto,4.11207,4.11207,4.11207,sdar,96,1,1
0.42927726988992315,0.4251234864009641,0.4262519764710072,0.4304393740839163,0.42443583398434437,0.4251442633245145,16,auto,9.20356,9.20356,9.20356,sdar,224,1,1
0.4407596640661384,0.4380991232148289,0.4402000113875633,0.4405557500299862,0.43935095988456235,0.4399987271298629,16,auto,21.07923,21.07923,21.07923,sdar,480,1,1
0.6688834179720053,0.657818091393857,0.662666575837169,0.6760825512514246,0.6552729570323859,0.6656523934500175,16,auto,6.14786,6.14786,6.14786,sdar,96,1,2
0.6634857087072684,0.657065671646617,0.6588098521248512,0.6652818427651954,0.6560028444647766,0.6570977842060594,16,auto,14.22491,14.22491,14.22491,sdar,224,1,2
0.6780268743994613,0.673934126481052,0.6771659527059857,0.6777131905307902,0.6758598446754251,0.6768563142629952,16,auto,32.42648,32.42648,32.42648,sdar,480,1,2
1.1025762825163297,1.082136472328425,1.0913185683661555,1.1144432138757998,1.0779496268227193,1.0962357896678934,16,auto,10.134030000000001,10.12466,10.11347,sdar,96,3,4
1.1112651350909761,1.095637726108814,1.099627060319275,1.1142734608624727,1.0938654929713865,1.096769428171644,16,auto,23.82515,23.74296,23.71962,sdar,224,3,4
1.1568224759507995,1.14436024352966,1.1505348265276596,1.1562872810148417,1.1476301704487628,1.1500087371534542,16,auto,55.324769999999994,55.09401999999999,55.06113,sdar,480,3,4
0.3169783188927529,0.310354258302842,0.31360321191499047,0.32038992860392485,0.3091534806146489,0.31501623322574346,32,auto,2.91342,2.90944,2.9005199999999998,sdar,96,3,1
0.3019571716215875,0.29903536606180053,0.29982915528302034,0.30277460529478833,0.2985516656813111,0.29904998072116024,32,auto,6.473859999999999,6.473859999999999,6.473859999999999,sdar,224,1,1
0.3139003007458206,0.31200551626017115,0.3135017271955613,0.313755077209066,0.3128970495358998,0.3133583765349208,32,auto,15.01221,15.01221,15.01221,sdar,480,1,1
